season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2025,2025-04-17,SRH,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,4,1108
2025,2025-04-18,RCB,PBKS,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,PBKS,field,PBKS,wickets,5,1109
2025,2025-04-19,DC,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,GT,wickets,7,1110
2025,2025-04-19,LSG,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,LSG,bat,LSG,runs,2,1111
2025,2025-04-20,PBKS,RCB,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,RCB,field,RCB,wickets,7,1112
2025,2025-04-20,CSK,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,9,1113
2025,2025-04-21,GT,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,GT,runs,39,1114
2025,2025-04-22,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,DC,field,DC,wickets,8,1115
2025,2025-04-23,SRH,MI,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,MI,field,MI,wickets,7,1116
2025,2025-04-24,RCB,RR,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RR,field,RCB,runs,11,1117
2025,2025-04-25,CSK,SRH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SRH,field,SRH,wickets,5,1118
2025,2025-04-27,MI,LSG,"Wankhede Stadium, Mumbai",Mumbai,LSG,field,MI,runs,54,1119
2025,2025-04-27,DC,RCB,"Arun Jaitley Stadium, Delhi",Delhi,RCB,field,RCB,wickets,6,1120
2025,2025-04-28,GT,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,field,RR,wickets,8,1121
2025,2025-04-29,KKR,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,KKR,runs,14,1122
2025,2025-04-30,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,PBKS,field,PBKS,wickets,4,1123
2025,2025-05-01,MI,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,field,MI,runs,100,1124
2025,2025-05-02,GT,SRH,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,field,GT,runs,38,1125
2025,2025-05-03,RCB,CSK,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,CSK,field,RCB,runs,2,1126
2025,2025-05-04,KKR,RR,"Eden Gardens, Kolkata",Kolkata,KKR,bat,KKR,runs,1,1127
2025,2025-05-04,PBKS,LSG,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,LSG,field,PBKS,runs,37,1128
2025,2025-05-06,MI,GT,"Wankhede Stadium, Mumbai",Mumbai,GT,field,GT,wickets,3,1129
2025,2025-05-07,KKR,CSK,"Eden Gardens, Kolkata",Kolkata,KKR,bat,CSK,wickets,2,1130
2025,2025-05-18,PBKS,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,PBKS,bat,PBKS,runs,10,1131
2025,2025-05-18,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,GT,field,GT,wickets,10,1132
2025,2025-05-19,LSG,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,SRH,field,SRH,wickets,6,1133
2025,2025-05-20,CSK,RR,"Arun Jaitley Stadium, Delhi",Delhi,RR,field,RR,wickets,6,1134
2025,2025-05-21,MI,DC,"Wankhede Stadium, Mumbai",Mumbai,DC,field,MI,runs,59,1135
2025,2025-05-22,LSG,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,LSG,runs,33,1136
2025,2025-05-23,SRH,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,RCB,field,SRH,runs,42,1137
2025,2025-05-24,PBKS,DC,"Sawai Mansingh Stadium, Jaipur",Jaipur,DC,field,DC,wickets,6,1138
2025,2025-05-25,CSK,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,CSK,bat,CSK,runs,83,1139
2025,2025-05-25,SRH,KKR,"Arun Jaitley Stadium, Delhi",Delhi,SRH,bat,SRH,runs,110,1140
2025,2025-05-26,MI,PBKS,"Sawai Mansingh Stadium, Jaipur",Jaipur,PBKS,field,PBKS,wickets,7,1141
2025,2025-05-27,LSG,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,RCB,field,RCB,wickets,6,1142
2025,2025-05-29,PBKS,RCB,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,RCB,field,RCB,wickets,8,1143
2025,2025-05-30,MI,GT,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,MI,bat,MI,runs,20,1144
2025,2025-06-01,MI,PBKS,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,PBKS,field,PBKS,wickets,5,1145
2025,2025-06-03,RCB,PBKS,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,PBKS,field,RCB,runs,6,1146
2026,2026-03-28,SRH,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,RCB,wickets,6,1147
2026,2026-03-29,KKR,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,6,1148
2026,2026-03-30,CSK,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,RR,field,RR,wickets,8,1149
2026,2026-03-31,GT,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,PBKS,field,PBKS,wickets,3,1150
2026,2026-04-01,LSG,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,DC,field,DC,wickets,6,1151
2026,2026-04-02,SRH,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,SRH,runs,65,1152
2026,2026-04-03,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,PBKS,field,PBKS,wickets,5,1153
2026,2026-04-04,RR,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RR,bat,RR,runs,6,1154
2026,2026-04-04,MI,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,DC,wickets,6,1155
2026,2026-04-05,SRH,LSG,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,LSG,field,LSG,wickets,5,1156
2026,2026-04-05,RCB,CSK,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,CSK,field,RCB,runs,43,1157
2026,2026-04-07,RR,MI,"Barsapara Cricket Stadium, Guwahati",Guwahati,MI,field,RR,runs,27,1158
2026,2026-04-08,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,GT,runs,1,1159
2026,2026-04-09,KKR,LSG,"Eden Gardens, Kolkata",Kolkata,LSG,field,LSG,wickets,3,1160
2026,2026-04-10,RCB,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,RR,field,RR,wickets,6,1161
2026,2026-04-11,SRH,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,PBKS,field,PBKS,wickets,6,1162
2026,2026-04-11,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,DC,field,CSK,runs,23,1163
2026,2026-04-12,LSG,GT,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,GT,field,GT,wickets,7,1164
2026,2026-04-12,RCB,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,RCB,runs,18,1165
2026,2026-04-13,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,RR,field,SRH,runs,57,1166
2026,2026-04-14,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,KKR,field,CSK,runs,32,1167
2026,2026-04-15,LSG,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,RCB,wickets,5,1168
2026,2026-04-16,MI,PBKS,"Wankhede Stadium, Mumbai",Mumbai,PBKS,field,PBKS,wickets,7,1169
2026,2026-04-17,KKR,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,KKR,bat,GT,wickets,5,1170
2026,2026-04-18,RCB,DC,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,DC,field,DC,wickets,6,1171
2026,2026-04-18,SRH,CSK,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,CSK,field,SRH,runs,10,1172
2026,2026-04-19,RR,KKR,"Eden Gardens, Kolkata",Kolkata,RR,bat,KKR,wickets,4,1173
2026,2026-04-19,PBKS,LSG,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,LSG,field,PBKS,runs,54,1174
2026,2026-04-20,MI,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,MI,runs,99,1175
2026,2026-04-21,SRH,DC,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,DC,field,SRH,runs,47,1176
2026,2026-04-22,RR,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,field,RR,runs,40,1177
2026,2026-04-23,CSK,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,CSK,runs,103,1178
2026,2026-04-24,GT,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,RCB,wickets,5,1179
2026,2026-04-25,DC,PBKS,"Arun Jaitley Stadium, Delhi",Delhi,DC,bat,PBKS,wickets,6,1180
2026,2026-04-25,RR,SRH,"Sawai Mansingh Stadium, Jaipur",Jaipur,SRH,field,SRH,wickets,5,1181
2026,2026-04-26,CSK,GT,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,GT,field,GT,wickets,8,1182
2026,2026-04-27,DC,RCB,"Arun Jaitley Stadium, Delhi",Delhi,RCB,field,RCB,wickets,9,1183
2026,2026-04-28,PBKS,RR,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,RR,field,RR,wickets,6,1184
2026,2026-04-29,MI,SRH,"Wankhede Stadium, Mumbai",Mumbai,MI,bat,SRH,wickets,6,1185
2026,2026-04-30,RCB,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,GT,wickets,4,1186
2026,2026-05-01,RR,DC,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,bat,DC,wickets,7,1187
2026,2026-05-02,MI,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,MI,bat,CSK,wickets,8,1188
2026,2026-05-03,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,bat,KKR,wickets,7,1189
2026,2026-05-03,PBKS,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,field,GT,wickets,4,1190
2026,2026-05-04,LSG,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,MI,wickets,6,1191
2026,2026-05-05,DC,CSK,"Arun Jaitley Stadium, Delhi",Delhi,DC,bat,CSK,wickets,8,1192
2026,2026-05-06,SRH,PBKS,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,PBKS,field,SRH,runs,33,1193
2026,2026-05-07,LSG,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,RCB,field,LSG,runs,9,1194
2026,2026-05-08,DC,KKR,"Arun Jaitley Stadium, Delhi",Delhi,KKR,field,KKR,wickets,8,1195
2026,2026-05-09,GT,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,field,GT,runs,77,1196
2026,2026-05-10,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,CSK,wickets,5,1197
2026,2026-05-10,MI,RCB,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,RCB,field,RCB,wickets,2,1198
2026,2026-05-11,PBKS,DC,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,DC,field,DC,wickets,3,1199
2026,2026-05-12,GT,SRH,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,field,GT,runs,82,1200
2026,2026-05-13,KKR,RCB,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,RCB,field,RCB,wickets,6,1201
