season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2023,2023-04-18,MI,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,field,MI,runs,14,957
2023,2023-04-19,LSG,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,field,LSG,runs,10,958
2023,2023-04-20,RCB,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,PBKS,field,RCB,runs,24,959
2023,2023-04-20,KKR,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,DC,wickets,4,960
2023,2023-04-21,SRH,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,field,CSK,wickets,7,961
2023,2023-04-22,PBKS,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,PBKS,runs,13,962
2023,2023-04-22,GT,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,GT,bat,GT,runs,7,963
2023,2023-04-23,RCB,RR,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RR,field,RCB,runs,7,964
2023,2023-04-23,CSK,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,CSK,runs,49,965
2023,2023-04-24,DC,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,DC,bat,DC,runs,7,966
2023,2023-04-25,GT,MI,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,MI,field,GT,runs,55,967
2023,2023-04-26,KKR,RCB,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,field,KKR,runs,21,968
2023,2023-04-27,RR,CSK,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,bat,RR,runs,32,969
2023,2023-04-28,LSG,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,PBKS,field,LSG,runs,56,970
2023,2023-04-29,KKR,GT,"Eden Gardens, Kolkata",Kolkata,GT,field,GT,wickets,7,971
2023,2023-04-29,SRH,DC,"Arun Jaitley Stadium, Delhi",Delhi,SRH,bat,SRH,runs,9,972
2023,2023-04-30,CSK,PBKS,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,bat,PBKS,wickets,4,973
2023,2023-04-30,RR,MI,"Wankhede Stadium, Mumbai",Mumbai,RR,bat,MI,wickets,6,974
2023,2023-05-01,RCB,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,RCB,bat,RCB,runs,18,975
2023,2023-05-02,DC,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DC,bat,DC,runs,5,976
2023,2023-05-03,PBKS,MI,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,MI,field,MI,wickets,6,977
